127.0.0.1 - - [11/Jul/2017:16:57:05 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/Jul/2017:16:57:52 +0800] "GET /monkeyLife/ HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [11/Jul/2017:16:57:52 +0800] "GET /monkeyLife/UI/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [11/Jul/2017:16:57:52 +0800] "GET /monkeyLife/css/main.css HTTP/1.1" 200 1388
0:0:0:0:0:0:0:1 - - [11/Jul/2017:16:57:52 +0800] "GET /monkeyLife/js/fisheye-iutil.min.js HTTP/1.1" 200 7421
0:0:0:0:0:0:0:1 - - [11/Jul/2017:16:57:52 +0800] "GET /monkeyLife/js/jquery.min.js HTTP/1.1" 200 57254
0:0:0:0:0:0:0:1 - - [11/Jul/2017:16:57:52 +0800] "GET /monkeyLife/js/jquery.jqDock.min.js HTTP/1.1" 200 10532
0:0:0:0:0:0:0:1 - - [11/Jul/2017:16:57:52 +0800] "GET /monkeyLife/UI/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [11/Jul/2017:16:57:53 +0800] "GET /jsp/topbar.jsp HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [11/Jul/2017:16:57:53 +0800] "GET /jsp/menubar.jsp HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [11/Jul/2017:16:57:53 +0800] "GET /monkeyLife/image/dock/backgroundImage.jpg HTTP/1.1" 200 288583
0:0:0:0:0:0:0:1 - - [11/Jul/2017:16:57:53 +0800] "GET /jsp/topbar.jsp HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [11/Jul/2017:16:57:53 +0800] "GET /monkeyLife/image/dock/background_001.jpg HTTP/1.1" 200 744528
0:0:0:0:0:0:0:1 - - [11/Jul/2017:16:57:53 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Jul/2017:16:58:16 +0800] "GET /monkeyLife/UI/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [11/Jul/2017:16:58:16 +0800] "GET /monkeyLife/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:16:59:11 +0800] "GET /monkeyLife/ HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [11/Jul/2017:16:59:11 +0800] "GET /monkeyLife/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:16:59:11 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:16:59:11 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:16:59:11 +0800] "GET /monkeyLife/jsp/menubar.jsp HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [11/Jul/2017:16:59:11 +0800] "GET /monkeyLife/jsp/js/fisheye-iutil.min.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [11/Jul/2017:16:59:11 +0800] "GET /monkeyLife/jsp/css/all-examples.css HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [11/Jul/2017:16:59:11 +0800] "GET /monkeyLife/jsp/js/jquery.min.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [11/Jul/2017:16:59:11 +0800] "GET /monkeyLife/image/dock/English.png HTTP/1.1" 200 11213
0:0:0:0:0:0:0:1 - - [11/Jul/2017:16:59:11 +0800] "GET /monkeyLife/image/dock/Japanese.png HTTP/1.1" 200 6494
0:0:0:0:0:0:0:1 - - [11/Jul/2017:16:59:11 +0800] "GET /monkeyLife/image/dock/Life.jpg HTTP/1.1" 200 5272
0:0:0:0:0:0:0:1 - - [11/Jul/2017:16:59:11 +0800] "GET /monkeyLife/image/dock/Feeling.jpg HTTP/1.1" 200 4742
0:0:0:0:0:0:0:1 - - [11/Jul/2017:16:59:11 +0800] "GET /monkeyLife/image/dock/Contacts.jpg HTTP/1.1" 200 6876
